sort,plot,subplot,watered,date,recruits,survivors,density,richness,shannon,simpson
1,1,1,wet,1,12,0,12,7,1.517151585,0.674556213
2,1,1,wet,3,4,12,16,8,1.75653674,0.76816609
3,1,1,wet,4,0,15,15,8,1.80804572,0.7890625
4,1,2,wet,1,5,0,5,5,1.609437912,0.8
5,1,2,wet,3,1,5,6,6,1.791759469,0.833333333
6,1,2,wet,4,4,5,9,7,1.831020481,0.814814815
7,1,3,wet,1,12,0,12,8,1.737983449,0.74556213
8,1,3,wet,3,3,9,12,7,1.631345421,0.733727811
9,1,3,wet,4,0,9,9,5,1.359236701,0.68
10,1,4,wet,1,4,0,4,4,1.386294361,0.75
11,1,4,wet,3,0,3,3,3,1.098612289,0.666666667
12,1,4,wet,4,0,3,3,3,1.098612289,0.666666667
13,1,5,wet,1,6,0,6,4,1.242453325,0.666666667
14,1,5,wet,3,1,4,5,5,1.609437912,0.8
15,1,5,wet,4,2,4,6,6,1.791759469,0.833333333
16,1,6,wet,1,8,0,8,6,1.667461933,0.78125
17,1,6,wet,3,0,8,8,6,1.667461933,0.78125
18,1,6,wet,4,4,3,7,6,1.747868097,0.816326531
19,1,7,wet,1,4,0,4,5,1.609437912,0.8
20,1,7,wet,3,1,4,5,6,1.791759469,0.833333333
21,1,7,wet,4,2,4,6,7,1.945910149,0.857142857
22,1,8,wet,1,6,0,6,7,1.945910149,0.857142857
23,1,8,wet,3,0,4,4,5,1.609437912,0.8
24,1,8,wet,4,0,3,3,4,1.386294361,0.75
25,1,9,wet,1,8,0,8,9,2.163955657,0.88
26,1,9,wet,3,0,5,5,6,1.747868097,0.816326531
27,1,9,wet,4,4,3,7,6,1.676987774,0.790123457
28,1,10,wet,1,6,0,6,4,1.329661349,0.722222222
29,1,10,wet,3,2,6,8,5,1.494175138,0.75
30,1,10,wet,4,2,4,6,4,1.242453325,0.666666667
31,1,11,wet,1,6,0,6,4,1.242453325,0.666666667
32,1,11,wet,3,2,5,7,6,1.747868097,0.816326531
33,1,11,wet,4,2,5,7,5,1.549826046,0.775510204
34,1,12,wet,1,5,0,5,5,1.609437912,0.8
35,1,12,wet,3,5,5,10,8,1.973001406,0.84
36,1,12,wet,4,3,10,13,10,2.138397246,0.852071006
37,1,13,wet,1,5,0,5,5,1.560710409,0.777777778
38,1,13,wet,3,1,5,6,5,1.549826046,0.775510204
39,1,13,wet,4,1,4,5,4,1.329661349,0.722222222
40,1,14,wet,1,5,0,5,5,1.609437912,0.8
41,1,14,wet,3,1,5,6,6,1.791759469,0.833333333
42,1,14,wet,4,3,4,7,6,1.747868097,0.816326531
43,1,15,wet,1,1,0,1,1,0,0
44,1,15,wet,3,0,1,1,1,0,0
45,1,15,wet,4,0,1,1,1,0,0
46,1,16,wet,1,13,0,13,9,1.945934776,0.804733728
47,1,16,wet,3,0,9,9,9,2.197224577,0.888888889
48,1,16,wet,4,4,8,12,11,2.36938212,0.902777778
49,1,17,wet,1,6,0,6,7,1.945910149,0.857142857
50,1,17,wet,3,0,6,6,7,1.945910149,0.857142857
51,1,17,wet,4,3,5,8,7,1.889159164,0.839506173
52,1,18,wet,1,7,0,7,5,1.464816385,0.740740741
53,1,18,wet,3,4,7,11,8,1.884871334,0.816568047
54,1,18,wet,4,0,6,6,5,1.427061043,0.716049383
55,1,19,wet,1,4,0,4,4,1.33217904,0.72
56,1,19,wet,3,0,4,4,4,1.33217904,0.72
57,1,19,wet,4,0,3,3,4,1.386294361,0.75
58,1,20,wet,1,4,0,4,2,0.562335145,0.375
59,1,20,wet,3,0,2,2,2,0.693147181,0.5
60,1,20,wet,4,1,2,3,3,1.098612289,0.666666667
61,1,21,wet,1,4,0,4,3,1.039720771,0.625
