SESSION,HEIGHT,LAT,LONG,Height4,Height8,Height12
92,50,-30.626357,151.56547,40,24,19.2
92,76,-30.62638,151.565507,45.6,27.36,21.888
92,76,-30.626385,151.565507,45.6,27.36,21.888
92,68,-30.626397,151.565515,54.4,32.64,26.112
92,52,-30.62642,151.565532,41.6,24.96,19.968
92,62,-30.626445,151.565552,49.6,29.76,23.808
92,72,-30.6265,151.565587,43.2,25.92,20.736
92,62,-30.626528,151.565598,49.6,29.76,23.808
92,62,-30.626613,151.565635,49.6,29.76,23.808
92,60,-30.626643,151.565647,48,28.8,23.04
92,70,-30.626672,151.565658,42,25.2,20.16
92,62,-30.6267,151.565668,49.6,29.76,23.808
92,76,-30.62673,151.565678,45.6,27.36,21.888
92,74,-30.626758,151.56569,44.4,26.64,21.312
92,72,-30.626785,151.5657,43.2,25.92,20.736
92,70,-30.626813,151.56571,42,25.2,20.16
92,56,-30.62684,151.56572,44.8,26.88,21.504
92,56,-30.626868,151.56573,44.8,26.88,21.504
92,56,-30.626897,151.565742,44.8,26.88,21.504
92,80,-30.626928,151.565753,48,28.8,23.04
92,72,-30.62696,151.565767,43.2,25.92,20.736
92,66,-30.626993,151.565782,52.8,31.68,25.344
92,66,-30.627027,151.565795,52.8,31.68,25.344
92,56,-30.627055,151.565807,44.8,26.88,21.504
92,60,-30.627085,151.565818,48,28.8,23.04
92,56,-30.627115,151.565828,44.8,26.88,21.504
92,64,-30.62714,151.565835,51.2,30.72,24.576
92,68,-30.627165,151.565843,54.4,32.64,26.112
92,66,-30.62719,151.565852,52.8,31.68,25.344
92,70,-30.627215,151.565853,42,25.2,20.16
92,68,-30.62724,151.56584,54.4,32.64,26.112
92,60,-30.627255,151.565813,48,28.8,23.04
92,50,-30.627258,151.565782,40,24,19.2
92,46,-30.627248,151.565748,36.8,27.6,19.872
92,72,-30.62723,151.56572,43.2,25.92,20.736
92,62,-30.627177,151.565688,49.6,29.76,23.808
92,68,-30.627148,151.565677,54.4,32.64,26.112
92,68,-30.62712,151.565667,54.4,32.64,26.112
92,62,-30.627092,151.565655,49.6,29.76,23.808
92,66,-30.627063,151.565643,52.8,31.68,25.344
92,60,-30.627033,151.565632,48,28.8,23.04
92,64,-30.627005,151.565622,51.2,30.72,24.576
92,64,-30.626977,151.56561,51.2,30.72,24.576
92,60,-30.626948,151.565598,48,28.8,23.04
92,66,-30.62692,151.565587,52.8,31.68,25.344
92,68,-30.626892,151.565575,54.4,32.64,26.112
92,62,-30.626863,151.565565,49.6,29.76,23.808
92,60,-30.626835,151.565555,48,28.8,23.04
92,58,-30.626808,151.565543,46.4,27.84,22.272
92,60,-30.62678,151.565535,48,28.8,23.04
92,70,-30.626752,151.565523,42,25.2,20.16
92,72,-30.626722,151.565512,43.2,25.92,20.736
92,74,-30.626692,151.565502,44.4,26.64,21.312
92,70,-30.626663,151.56549,42,25.2,20.16
92,68,-30.626635,151.56548,54.4,32.64,26.112
92,74,-30.626607,151.565468,44.4,26.64,21.312
92,68,-30.62658,151.565457,54.4,32.64,26.112
92,60,-30.626555,151.565447,48,28.8,23.04
92,60,-30.626528,151.565438,48,28.8,23.04
92,52,-30.626505,151.56543,41.6,24.96,19.968
92,46,-30.62648,151.565423,36.8,27.6,19.872
92,56,-30.626458,151.565413,44.8,26.88,21.504
92,54,-30.626435,151.565407,43.2,25.92,20.736
92,64,-30.62641,151.565402,51.2,30.72,24.576
92,76,-30.626388,151.565413,45.6,27.36,21.888
92,72,-30.62637,151.565468,43.2,25.92,20.736
92,68,-30.626378,151.565495,54.4,32.64,26.112
92,76,-30.6264,151.565515,45.6,27.36,21.888
92,70,-30.626423,151.56553,42,25.2,20.16
92,72,-30.626448,151.56554,43.2,25.92,20.736
92,66,-30.626475,151.56555,52.8,31.68,25.344
92,56,-30.626502,151.565562,44.8,26.88,21.504
92,70,-30.626532,151.56557,42,25.2,20.16
92,74,-30.626562,151.565582,44.4,26.64,21.312
92,46,-30.626593,151.565593,36.8,27.6,19.872
92,26,-30.626628,151.565607,26,19.5,18.72
92,30,-30.62666,151.565618,30,22.5,21.6
92,32,-30.626692,151.565628,32,24,23.04
92,38,-30.626723,151.565638,38,28.5,20.52
92,50,-30.626755,151.56565,40,24,19.2
92,56,-30.626787,151.565662,44.8,26.88,21.504
92,42,-30.626817,151.565675,33.6,25.2,18.144
92,40,-30.626848,151.565688,40,24,23.04
92,30,-30.626878,151.5657,30,22.5,21.6
92,34,-30.626907,151.56571,34,25.5,18.36
92,28,-30.626937,151.565722,28,21,20.16
92,34,-30.626968,151.565735,34,25.5,18.36
92,26,-30.627005,151.565748,26,19.5,18.72
92,30,-30.627038,151.565762,30,22.5,21.6
92,26,-30.627072,151.565775,26,19.5,18.72
92,26,-30.627105,151.565787,26,19.5,18.72
92,18,-30.627135,151.5658,18,14.4,14.58
92,26,-30.627165,151.565812,26,19.5,18.72
92,26,-30.627192,151.565822,26,19.5,18.72
92,18,-30.627218,151.565825,18,14.4,14.58
92,18,-30.627257,151.565787,18,14.4,14.58
92,18,-30.62726,151.56576,18,14.4,14.58
92,18,-30.627258,151.56573,18,14.4,14.58
92,20,-30.62725,151.565702,20,15,16.2
92,28,-30.62723,151.565682,28,21,20.16
92,34,-30.627205,151.565668,34,25.5,18.36
92,34,-30.627178,151.565655,34,25.5,18.36
92,32,-30.627148,151.565643,32,24,23.04
92,30,-30.62712,151.565633,30,22.5,21.6
92,30,-30.627092,151.565622,30,22.5,21.6
92,34,-30.627063,151.56561,34,25.5,18.36
92,36,-30.627037,151.5656,36,27,19.44
92,24,-30.627008,151.56559,24,18,17.28
92,22,-30.626982,151.56558,22,16.5,17.82
