"","V1"
"1","Univ New S Wales, Sch Chem Engn & Ind Chem, Sydney, NSW 2052, Australia"
"2","Univ Queensland, St Lucia, Qld 4067, Australia"
"3","Charles Sturt Univ, Sch Mkt & Management, Bathurst, NSW 2795, Australia"
"4","CSIRO, Land & Water, Wembley, WA 6913, Australia"
"5","New S Wales Fisheries Off Conservat, Nelson Bay, NSW, Australia"
"6","NSW Fisheries, Cronulla Fisheries Ctr, Cronulla, NSW 2230, Australia"
"7","Univ New S Wales, Kensington, NSW 2033, Australia"
"8","USDA, Econ Res Serv, Washington, DC USA"
"9","Monash Univ, Dept Biol Sci, Cooperat Res Ctr Freshwater Ecol, Clayton, Vic 3168, Australia"
"10","Univ Western Sydney, Ctr Adv Food Res, Penrith, NSW 1797, Australia"
"11","Deakin Univ, Sch Biol & Chem Sci, Geelong, Vic 3217, Australia"
"12","Univ New S Wales, Sch Chem Sci, Sydney, NSW 2052, Australia"
"13","Univ New England, Anim Genet & Breeding Unit, Armidale, NSW 2351, Australia"
"14","Univ New England, Sch Rural Sci & Agr, Armidale, NSW 2351, Australia"
"15","NSW Dept Primary Ind, Fisheries Conservat Technol Unit, Coffs Harbour, NSW 2450, Australia"
"16","Univ Auckland, Leigh Marine Lab, Warkworth, New Zealand"
"17","Univ Sydney, Ctr Adv Technol Anim Genet & Reprod Reprogen, Fac Vet Sci, Sydney, NSW 2006, Australia"
"18","Agr Univ Norway, Dept Anim & Aquacultural Sci, N-1432 As, Norway"
"19","Univ Queensland, Sch Agr & Hort, Brisbane, Qld 4343, Australia"
"20","Charles Sturt Univ, Sch Sci & Technol, Johnstone Ctr, Wagga Wagga, NSW, Australia"
"21","Charles Sturt Univ, Sch Wine & Food Sci, Wagga Wagga, NSW 2678, Australia"
"22","CSIRO, Plant Ind, Queensland Biosci Project, Brisbane, Qld 4067, Australia"
"23","Charles Sturt Univ, Sch Wine & Food Sci, Wagga Wagga, NSW, Australia"
"24","Univ Technol Sydney, Dept Cell & Mol Biol, St Leonards, NSW 2065, Australia"
"25","Univ Queensland, Sch Agr & Hort, Gattan, Qld 4343, Australia"
"26","CSIRO, Div Plant Ind, Narrabri, NSW 2390, Australia"
"27","Univ Western Sydney, Probiot & Encapsulated Funct Foods Res Unit, Ctr Adv Food Res, Penrith, NSW 1797, Australia"
"28","Univ Western Sydney, Penrith, NSW 1797, Australia"
"29","Univ New England, Sch Rural Sci & Agr, Armidale, NSW, Australia"
"30","Univ Wollongong, Inst Conservat Biol, Wollongong, NSW 2500, Australia"
"31","Univ Newcastle, Sch Appl Sci, Ourimbah, NSW 2258, Australia"
"32","Alstom Power Ltd, Sydney, NSW, Australia"
"33","Univ Sydney, Fac Agr Food & Nat Resources, Australian Ctr Precis Agr, Sydney, NSW 2006, Australia"
"34","Univ London Imperial Coll Sci Technol & Med, Dept Agr Sci, Ashford TN25 5AH, Kent, England"
"35","Univ Padua, Dipartimento Biol, I-35131 Padua, Italy"
"36","Univ Waikato, Dept Sci Biol, Hamilton, New Zealand"
"37","Graingene, Griffith, NSW 2603, Australia"
"38","Natl Marine Sci Ctr, Coffs Harbour, NSW 2450, Australia"
"39","CSIRO Plant Ind, N Ryde, NSW, Australia"
"40","Univ Wollongong, Dept Chem, Wollongong, NSW 2522, Australia"
"41","Charles Sturt Univ, Fac Sci & Agr, Sch Sci & Technol, Wagga Wagga, NSW 2678, Australia"
"42","Univ Basilicata, Dipartimento Biol DBAF, I-85100 Potenza, Italy"
"43","Univ Western Sydney, Childrens Food Res & Educ Unit, Ctr Adv Food Res, Coll Sci Technol & Environm, Richmond, NSW 1797, Australia"
"44","Univ Western Sydney, Childrens Food Res & Educ Unit, Ctr Adv Food Res, Coll Sci Technol & Environm, Richmond, NSW 2753, Australia"
"45","ActionLaser Pty Ltd, Sydney, NSW, Australia"
"46","CSIRO, Plant Ind, Canberra, ACT 2611, Australia"
"47","Univ New S Wales, Sch Chem, Sydney, NSW 2052, Australia"
"48","Wagga Wagga Agr Inst, Wagga Wagga, NSW 2650, Australia"
"49","Univ New England, AGBU, Sch Rural Sci & Agr, Armidale, NSW 2350, Australia"
"50","Wagga Wagga Agr Inst, NSW Dept Primary Ind, Wagga Wagga, NSW 2650, Australia"
"51","NSW Fisheries, Port Stephens Fisheries Ctr, Nelson Bay, NSW 2315, Australia"
"52","NSW Fisheries, Port Stephens Fisheries Ctr, Taylors Beach, NSW 2316, Australia"
"53","NSW Agr, Orange Agr Inst, Orange, NSW 2800, Australia"
"54","Univ New England, AGBU, Armidale, NSW 2351, Australia"
"55","Ecos Corp Pty Ltd, Sydney, NSW 2000, Australia"
"56",NA
"57","Univ Western Sydney, Sch Environm & Agr, Penrith, NSW 1797, Australia"
"58","Australian Govt Analyt Labs, Res & Dev Sect, Pymble, NSW, Australia"
"59","Coop Res Ctr Weed Management Syst, Wagga Wagga, NSW 2650, Australia"
"60","Food Sci Australia, Food Safety & Qual Grp, N Ryde, NSW 1670, Australia"
"61","New S Wales Agr, Ctr Sheep Meat Dev, Cowra, NSW 2794, Australia"
"62","So Cross Univ, Ctr Plant Conservat Genet, Mol Plant Breeding CRC, Lismore, NSW 2480, Australia"
"63","Univ Sydney, Ctr Adv Technol Anim Genet & reprod, Fac Vet Sci, Sydney, NSW 2006, Australia"
"64","Washington State Univ, Dept Vet Microbiol & Pathol, Coll Vet Med, Pullman, WA 99164 USA"
"65","Univ Sydney, Fac Agr Food & Nat Resources, Sydney, NSW 2006, Australia"
"66","Macquarie Univ, Div Environm Life Sci, N Ryde, NSW 2109, Australia"
"67","Univ Sydney, Sch Biol Sci, Sydney, NSW 2006, Australia"
"68","CSIRO, Agribusiness & Hlth Grp, N Ryde, NSW 1670, Australia"
"69","USDA ARS, Natl Arboretum, Washington, DC 20002 USA"
"70","Univ Western Sydney, Sch Sci Food & Hort, Penrith, NSW 1797, Australia"
"71","CSIRO, Marine Res, Cleveland, Qld 4163, Australia"
"72","CSIRO, Livestock Ind, FD McMaster Lab Chiswick, Armidale, NSW 2350, Australia"
"73","Univ New England, Grad Sch Agr & Resource Econ, Armidale, NSW, Australia"
"74","Kansas State Univ, Throckmorton Plant Sci Ctr, Dept Plant Pathol, Manhattan, KS 66506 USA"
"75","UWS, Ctr Adv Food Res, Penrith, NSW 1797, Australia"
"76","NSW Agr, Ctr Sheep Meat Dev, Cowra, NSW 2794, Australia"
"77","Okayama Univ, Fac Agr, Okayama 7008530, Japan"
"78","Univ Sydney, Fac Vet Sci, Ctr Adv Technol Anim Genet & Reprod, Sydney, NSW 2006, Australia"
"79","Macquarie Univ, Dept Sci Biol, N Ryde, NSW 2109, Australia"
"80","Nerida Richards Equine Nutr, Nicholson, Vic 3882, Australia"
"81","Univ Newcastle, Discipline Biol Sci, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia"
"82","So Cross Univ, Lismore, NSW, Australia"
"83","CSIRO, Australian Cotton Cooperat Res Ctr, Narrabri, NSW 2390, Australia"
"84","Univ New S Wales, Sydney, NSW 2052, Australia"
"85","Univ Newcastle, Newcastle, NSW 2308, Australia"
"86","Univ Wollongong, Smart Foods Ctr, Wollongong, NSW 2522, Australia"
"87","Univ Wollongong, Smart Foods Ctr, Wollongong, NSW 2552, Australia"
"88","Univ Sydney, Ctr Adv Technol Anim Genet & Reproduct Reprogen, Sydney, NSW 2006, Australia"
"89","So Cross Univ, Sch Environm Sci & Management, P-2480 Lisbon, Portugal"
"90","NSW Fisheries, Cronulla, NSW 2230, Australia"
"91","Univ Sydney, Sch Psychol, Sydney, NSW 2006, Australia"
"92","Univ Sydney, MC Franklin Lab, Camden, NSW 2570, Australia"
"93","CSIRO, Plant Ind, Long Pocket Labs, Indooroopilly, Qld 4068, Australia"
"94","USDA ARS, Livestock Behav Res Unit, W Lafayette, IN 47907 USA"
"95","CSIRO Marine Res, Hobart, Tas 7001, Australia"
"96","Univ Canberra, Appl Ecol Res Grp, Canberra, ACT 2601, Australia"
"97","Univ Newcastle, Fac Hlth Sci, Newcastle, NSW 2308, Australia"
"98","Macquarie Univ, Div Environm & Life Sci, N Ryde, NSW 2109, Australia"
"99","Univ Sydney, Plant Breeding Inst Cobbitty, Camden, NSW 2570, Australia"
"100","Univ Adelaide, Waite Agr Res Inst, Sch Agr & Wine, Discipline Plant & Pest Sci, Glen Osmond, SA 5064, Australia"
"101","New S Wales Fisheries, Port Stephens, NSW, Australia"
"102","Univ Auckland, Dept Stat, Auckland 1, New Zealand"
"103","Natl Marine Sci Ctr, NSW Fisheries, Conservat Technol Unit, Coffs Harbour, NSW 2450, Australia"
"104","CSIRO, Livestock Ind, FD McMaster Lab, Armidale, NSW 2350, Australia"
