dataResourceUid,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,species,provenance
dr1411,2022-10-28T20:39:43Z,-30.501265,151.643989,EPSG:4326,-30.50126464,151.6439888,EPSG:4326,Phascolarctos cinereus,
dr1411,2023-04-03T04:37:04Z,-30.488699,151.64095,EPSG:4326,-30.48869925,151.6409501,EPSG:4326,Phascolarctos cinereus,
dr1411,2022-08-01T14:38:24Z,-30.489953,151.64102,EPSG:4326,-30.48995344,151.6410198,EPSG:4326,Phascolarctos cinereus,
dr1411,2023-01-01T07:05:00Z,-30.486778,151.639921,EPSG:4326,-30.48677794,151.6399211,EPSG:4326,Phascolarctos cinereus,
dr1411,2019-11-07T04:11:51Z,-30.484997,151.641708,EPSG:4326,-30.48499667,151.6417083,EPSG:4326,Phascolarctos cinereus,
dr1411,2021-11-27T02:20:18Z,-30.484945,151.645937,EPSG:4326,-30.484945,151.6459367,EPSG:4326,Phascolarctos cinereus,
dr1902,2015-12-01T18:01:00Z,-30.465606,151.650009,EPSG:4326,-30.46560579,151.6500093,WGS84,Phascolarctos cinereus,Individual sightings
dr1902,2022-08-02T00:00:00Z,-30.5,151.6,EPSG:4326,-30.5,151.6,WGS84,Phascolarctos cinereus,Individual sightings
dr1902,2022-08-29T16:00:00Z,-30.5,151.6,EPSG:4326,-30.5,151.6,WGS84,Phascolarctos cinereus,Individual sightings
dr1902,2016-01-18T09:59:00Z,-30.496028,151.615312,EPSG:4326,-30.49602833,151.6153117,WGS84,Phascolarctos cinereus,Individual sightings
dr340,,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,,-30.51444,151.66693,EPSG:4326,-30.51444,151.66693,,Phascolarctos cinereus,Published dataset
dr340,2009-09-02T00:00:00Z,-30.51444,151.66693,EPSG:4326,-30.51444,151.66693,,Phascolarctos cinereus,Published dataset
dr340,2016-05-23T00:00:00Z,-30.50061,151.68648,EPSG:4326,-30.50061,151.68648,,Phascolarctos cinereus,Published dataset
dr340,,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,2009-10-21T00:00:00Z,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,2009-09-02T00:00:00Z,-30.51444,151.66693,EPSG:4326,-30.51444,151.66693,,Phascolarctos cinereus,Published dataset
dr340,2017-02-06T00:00:00Z,-30.49571,151.66131,EPSG:4326,-30.49571,151.66131,,Phascolarctos cinereus,Published dataset
dr340,2014-05-26T00:00:00Z,-30.48999,151.68444,EPSG:4326,-30.48999,151.68444,,Phascolarctos cinereus,Published dataset
dr340,2009-10-21T00:00:00Z,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,2009-09-02T00:00:00Z,-30.51444,151.66693,EPSG:4326,-30.51444,151.66693,,Phascolarctos cinereus,Published dataset
dr340,2017-09-29T00:00:00Z,-30.49356,151.60328,EPSG:4326,-30.49356,151.60328,,Phascolarctos cinereus,Published dataset
dr340,,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,2016-12-09T00:00:00Z,-30.52335,151.65096,EPSG:4326,-30.52335,151.65096,,Phascolarctos cinereus,Published dataset
dr340,,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr340,,-30.48499,151.64221,EPSG:4326,-30.48499,151.64221,,Phascolarctos cinereus,Published dataset
dr364,2014-07-02T03:30:00Z,-30.486582,151.644577,EPSG:4326,-30.4865818,151.644577,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-11-07T08:00:00Z,-30.4982,151.644588,EPSG:4326,-30.49819955,151.6445875,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-10-21T00:10:00Z,-30.523197,151.649339,EPSG:4326,-30.52319722,151.6493389,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-09-19T02:00:00Z,-30.509736,151.69467,EPSG:4326,-30.50973593,151.6946697,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2017-10-20T13:00:00Z,-30.523138,151.662062,EPSG:4326,-30.52313787,151.6620621,,Phascolarctos cinereus,Individual sightings
dr364,2016-07-25T06:00:00Z,-30.475197,151.622894,EPSG:4326,-30.47519664,151.6228938,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-08-30T07:30:00Z,-30.532518,151.656062,EPSG:4326,-30.53251813,151.656062,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-10-13T22:00:00Z,-30.48631,151.645274,EPSG:4326,-30.48631046,151.6452742,WGS84,Phascolarctos cinereus,Individual sightings
dr364,2016-07-26T08:30:00Z,-30.496813,151.621606,EPSG:4326,-30.49681287,151.6216064,WGS84,Phascolarctos cinereus,Individual sightings
dr368,2014-08-04T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-09-13T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2006-09-06T00:00:00Z,-30.490204,151.68242,EPSG:4326,-30.4902038,151.6824205,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-10-20T00:00:00Z,-30.489491,151.683563,EPSG:4326,-30.48949127,151.6835628,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-12-17T00:00:00Z,-30.507815,151.693271,EPSG:4326,-30.50781507,151.6932707,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-09-22T00:00:00Z,-30.528536,151.66194,EPSG:4326,-30.52853588,151.66194,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-19T00:00:00Z,-30.524886,151.64448,EPSG:4326,-30.52488642,151.6444799,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-12-17T00:00:00Z,-30.507815,151.693271,EPSG:4326,-30.50781512,151.6932707,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-04-27T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-05-21T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-11-29T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
